KJV
King James Bible: Pure Cambridge Edition - Text courtesy of www.BibleProtector.com
Genesis 1:1	In the beginning God created the heaven and the earth.
Genesis 37:28	Then there passed by Midianites merchantmen; and they drew and lifted up Joseph out of the pit, and sold Joseph to the Ishmeelites for twenty [pieces] of silver: and they brought Joseph into Egypt.
Genesis 37:29	And Reuben returned unto the pit; and, behold, Joseph [was] not in the pit; and he rent his clothes.
Genesis 37:30	And he returned unto his brethren, and said, 

Genesis 37:31	And they took Joseph’s coat, and killed a kid of the goats, and dipped the coat in the blood;
Genesis 37:32	And they sent the coat of [many] colours, and they brought [it] to their father; and said, This have we found: know now whether it [be] thy son’s coat or no.
Genesis 37:33	And he knew it, and said, 

Genesis 37:34	And Jacob rent his clothes, and put sackcloth upon his loins, and mourned for his son many days.
Genesis 37:35	And all his sons and all his daughters rose up to comfort him; but he refused to be comforted; and he said, 

Genesis 37:36	And the Midianites sold him into Egypt unto Potiphar, an officer of Pharaoh’s, [and] captain of the guard.
Genesis 38:1	And it came to pass at that time, that Judah went down from his brethren, and turned in to a certain Adullamite, whose name [was] Hirah.
Genesis 38:2	And Judah saw there a daughter of a certain Canaanite, whose name [was] Shuah; and he took her, and went in unto her.
Genesis 38:3	And she conceived, and bare a son; and he called his name Er.
Genesis 38:4	And she conceived again, and bare a son; and she called his name Onan.
Genesis 38:5	And she yet again conceived, and bare a son; and called his name Shelah: and he was at Chezib, when she bare him.
Genesis 38:6	And Judah took a wife for Er his firstborn, whose name [was] Tamar.
Genesis 38:7	And Er, Judah’s firstborn, was wicked in the sight of the LORD; and the LORD slew him.
Genesis 38:8	And Judah said unto Onan, Go in unto thy brother’s wife, and marry her, and raise up seed to thy brother.
Genesis 38:9	And Onan knew that the seed should not be his; and it came to pass, when he went in unto his brother’s wife, that he spilled [it] on the ground, lest that he should give seed to his brother.
Genesis 38:10	And the thing which he did displeased the LORD: wherefore he slew him also.
Genesis 38:11	Then said Judah to Tamar his daughter in law, 
 And Tamar went and dwelt in her father’s house.
Genesis 38:12	And in process of time the daughter of Shuah Judah’s wife died; and Judah was comforted, and went up unto his sheepshearers to Timnath, he and his friend Hirah the Adullamite.
Genesis 38:13	And it was told Tamar, saying, Behold thy father in law goeth up to Timnath to shear his sheep.
Genesis 38:14	And she put her widow’s garments off from her, and covered her with a vail, and wrapped herself, and sat in an open place, which [is] by the way to Timnath; for she saw that Shelah was grown, and she was not given unto him to wife.
Genesis 38:15	When Judah saw her, he thought her [to be] an harlot; because she had covered her face.
Genesis 38:16	And he turned unto her by the way, and said, 
 (for he knew not that she [was] his daughter in law.) And she said, 

Genesis 38:17	And he said, 
 And she said, 

Genesis 38:18	And he said, 
 And she said, 
  And he gave [it] her, and came in unto her, and she conceived by him.
Genesis 38:19	And she arose, and went away, and laid by her vail from her, and put on the garments of her widowhood.
Genesis 38:20	And Judah sent the kid by the hand of his friend the Adullamite, to receive [his] pledge from the woman’s hand: but he found her not.
Genesis 38:21	Then he asked the men of that place, saying, Where [is] the harlot, that [was] openly by the way side? And they said, There was no harlot in this [place].
Genesis 38:22	And he returned to Judah, and said, I cannot find her; and also the men of the place said, [that] there was no harlot in this [place].
Genesis 38:23	And Judah said, Let her take [it] to her, lest we be shamed: behold, I sent this kid, and thou hast not found her.
Genesis 38:24	And it came to pass about three months after, that it was told Judah, saying, Tamar thy daughter in law hath played the harlot; and also, behold, she [is] with child by whoredom. And Judah said, 

Genesis 38:25	When she [was] brought forth, she sent to her father in law, saying, 

Genesis 38:26	And Judah acknowledged [them], and said, 
 And he knew her again no more.
Genesis 38:27	And it came to pass in the time of her travail, that, behold, twins [were] in her womb.
Genesis 38:28	And it came to pass, when she travailed, that [the one] put out [his] hand: and the midwife took and bound upon his hand a scarlet thread, saying, This came out first.
Genesis 38:29	And it came to pass, as he drew back his hand, that, behold, his brother came out: and she said, How hast thou broken forth? [this] breach [be] upon thee: therefore his name was called Pharez.
Genesis 38:30	And afterward came out his brother, that had the scarlet thread upon his hand: and his name was called Zarah.
Genesis 39:1	And Joseph was brought down to Egypt; and Potiphar, an officer of Pharaoh, captain of the guard, an Egyptian, bought him of the hands of the Ishmeelites, which had brought him down thither.
Genesis 39:2	And the LORD was with Joseph, and he was a prosperous man; and he was in the house of his master the Egyptian.
Genesis 39:3	And his master saw that the LORD [was] with him, and that the LORD made all that he did to prosper in his hand.
Genesis 39:4	And Joseph found grace in his sight, and he served him: and he made him overseer over his house, and all [that] he had he put into his hand.
Genesis 39:5	And it came to pass from the time [that] he had made him overseer in his house, and over all that he had, that the LORD blessed the Egyptian’s house for Joseph’s sake; and the blessing of the LORD was upon all that he had in the house, and in the field.
Genesis 39:6	And he left all that he had in Joseph’s hand; and he knew not ought he had, save the bread which he did eat. And Joseph was [a] goodly [person], and well favoured.
Genesis 39:7	And it came to pass after these things, that his master’s wife cast her eyes upon Joseph; and she said, Lie with me.
Genesis 39:8	But he refused, and said unto his master’s wife, 

Genesis 39:10	And it came to pass, as she spake to Joseph day by day, that he hearkened not unto her, to lie by her, [or] to be with her.
Genesis 39:11	And it came to pass about this time, that [Joseph] went into the house to do his business; and [there was] none of the men of the house there within.
Genesis 39:12	And she caught him by his garment, saying, Lie with me: and he left his garment in her hand, and fled, and got him out.
Genesis 39:13	And it came to pass, when she saw that he had left his garment in her hand, and was fled forth,
Genesis 39:14	That she called unto the men of her house, and spake unto them, saying, See, he hath brought in an Hebrew unto us to mock us; he came in unto me to lie with me, and I cried with a loud voice:
Genesis 39:15	And it came to pass, when he heard that I lifted up my voice and cried, that he left his garment with me, and fled, and got him out.
Genesis 39:16	And she laid up his garment by her, until his lord came home.
Genesis 39:17	And she spake unto him according to these words, saying, The Hebrew servant, which thou hast brought unto us, came in unto me to mock me:
Genesis 39:18	And it came to pass, as I lifted up my voice and cried, that he left his garment with me, and fled out.
Genesis 39:19	And it came to pass, when his master heard the words of his wife, which she spake unto him, saying, After this manner did thy servant to me; that his wrath was kindled.
Genesis 39:20	And Joseph’s master took him, and put him into the prison, a place where the king’s prisoners [were] bound: and he was there in the prison.
Genesis 39:21	But the LORD was with Joseph, and shewed him mercy, and gave him favour in the sight of the keeper of the prison.
Genesis 39:22	And the keeper of the prison committed to Joseph’s hand all the prisoners that [were] in the prison; and whatsoever they did there, he was the doer [of it].
Genesis 39:23	The keeper of the prison looked not to any thing [that was] under his hand; because the LORD was with him, and [that] which he did, the LORD made [it] to prosper.
Genesis 40:1	And it came to pass after these things, [that] the butler of the king of Egypt and [his] baker had offended their lord the king of Egypt.
Genesis 40:2	And Pharaoh was wroth against two [of] his officers, against the chief of the butlers, and against the chief of the bakers.
Genesis 40:3	And he put them in ward in the house of the captain of the guard, into the prison, the place where Joseph [was] bound.
Genesis 40:4	And the captain of the guard charged Joseph with them, and he served them: and they continued a season in ward.
Genesis 40:5	And they dreamed a dream both of them, each man his dream in one night, each man according to the interpretation of his dream, the butler and the baker of the king of Egypt, which [were] bound in the prison.
Genesis 40:6	And Joseph came in unto them in the morning, and looked upon them, and, behold, they [were] sad.
Genesis 40:7	And he asked Pharaoh’s officers that [were] with him in the ward of his lord’s house, saying, 

Genesis 40:8	And they said unto him, We have dreamed a dream, and [there is] no interpreter of it. And Joseph said unto them, 

Genesis 40:9	And the chief butler told his dream to Joseph, and said to him, 

Genesis 40:12	And Joseph said unto him, This [is] the interpretation of it: 

Genesis 40:16	When the chief baker saw that the interpretation was good, he said unto Joseph, I also [was] in my dream, and, behold, [I had] three white baskets on my head:
Genesis 40:17	And in the uppermost basket [there was] of all manner of bakemeats for Pharaoh; and the birds did eat them out of the basket upon my head.
Genesis 40:18	And Joseph answered and said, 

Genesis 40:20	And it came to pass the third day, [which was] Pharaoh’s birthday, that he made a feast unto all his servants: and he lifted up the head of the chief butler and of the chief baker among his servants.
Genesis 40:21	And he restored the chief butler unto his butlership again; and he gave the cup into Pharaoh’s hand:
Genesis 40:22	But he hanged the chief baker: as Joseph had interpreted to them.
Genesis 40:23	Yet did not the chief butler remember Joseph, but forgat him.
Genesis 41:1	And it came to pass at the end of two full years, that Pharaoh dreamed: and, behold, he stood by the river.
Genesis 41:2	And, behold, there came up out of the river seven well favoured kine and fatfleshed; and they fed in a meadow.
Genesis 41:3	And, behold, seven other kine came up after them out of the river, ill favoured and leanfleshed; and stood by the [other] kine upon the brink of the river.
Genesis 41:4	And the ill favoured and leanfleshed kine did eat up the seven well favoured and fat kine. So Pharaoh awoke.
Genesis 41:5	And he slept and dreamed the second time: and, behold, seven ears of corn came up upon one stalk, rank and good.
Genesis 41:6	And, behold, seven thin ears and blasted with the east wind sprung up after them.
Genesis 41:7	And the seven thin ears devoured the seven rank and full ears. And Pharaoh awoke, and, behold, [it was] a dream.
Genesis 41:8	And it came to pass in the morning that his spirit was troubled; and he sent and called for all the magicians of Egypt, and all the wise men thereof: and Pharaoh told them his dream; but [there was] none that could interpret them unto Pharaoh.
Genesis 41:9	Then spake the chief butler unto Pharaoh, saying, 

Genesis 41:14	Then Pharaoh sent and called Joseph, and they brought him hastily out of the dungeon: and he shaved [himself], and changed his raiment, and came in unto Pharaoh.
Genesis 41:15	And Pharaoh said unto Joseph, 

Genesis 41:16	And Joseph answered Pharaoh, saying, 


Genesis 41:17	And Pharaoh said unto Joseph, 

Genesis 41:25	And Joseph said unto Pharaoh, 

Genesis 41:37	And the thing was good in the eyes of Pharaoh, and in the eyes of all his servants.
Genesis 41:38	And Pharaoh said unto his servants, 

Genesis 41:39	And Pharaoh said unto Joseph, 

Genesis 41:41	And Pharaoh said unto Joseph, 

Genesis 41:42	And Pharaoh took off his ring from his hand, and put it upon Joseph’s hand, and arrayed him in vestures of fine linen, and put a gold chain about his neck;
Genesis 41:43	And he made him to ride in the second chariot which he had; and they cried before him, Bow the knee: and he made him [ruler] over all the land of Egypt.
Genesis 41:44	And Pharaoh said unto Joseph, 

Genesis 41:45	And Pharaoh called Joseph’s name Zaphnathpaaneah; and he gave him to wife Asenath the daughter of Potipherah priest of On. And Joseph went out over [all] the land of Egypt.
Genesis 41:46	And Joseph [was] thirty years old when he stood before Pharaoh king of Egypt. And Joseph went out from the presence of Pharaoh, and went throughout all the land of Egypt.
Genesis 41:47	And in the seven plenteous years the earth brought forth by handfuls.
Genesis 41:48	And he gathered up all the food of the seven years, which were in the land of Egypt, and laid up the food in the cities: the food of the field, which [was] round about every city, laid he up in the same.
Genesis 41:49	And Joseph gathered corn as the sand of the sea, very much, until he left numbering; for [it was] without number.
Genesis 41:50	And unto Joseph were born two sons before the years of famine came, which Asenath the daughter of Potipherah priest of On bare unto him.
Genesis 41:51	And Joseph called the name of the firstborn Manasseh: 

Genesis 41:52	And the name of the second called he Ephraim: 

Genesis 41:53	And the seven years of plenteousness, that was in the land of Egypt, were ended.
Genesis 41:54	And the seven years of dearth began to come, according as Joseph had said: and the dearth was in all lands; but in all the land of Egypt there was bread.
Genesis 41:55	And when all the land of Egypt was famished, the people cried to Pharaoh for bread: 

Genesis 41:56	And the famine was over all the face of the earth: And Joseph opened all the storehouses, and sold unto the Egyptians; and the famine waxed sore in the land of Egypt.
Genesis 41:57	And all countries came into Egypt to Joseph for to buy [corn]; because that the famine was [so] sore in all lands.
Genesis 42:1	Now when Jacob saw that there was corn in Egypt, Jacob said unto his sons, 

Genesis 42:2	And he said, Behold, 

Genesis 42:3	And Joseph’s ten brethren went down to buy corn in Egypt.
Genesis 42:4	But Benjamin, Joseph’s brother, Jacob sent not with his brethren; for he said, Lest peradventure mischief befall him.
Genesis 42:5	And the sons of Israel came to buy [corn] among those that came: for the famine was in the land of Canaan.
Genesis 42:6	And Joseph [was] the governor over the land, [and] he [it was] that sold to all the people of the land: and Joseph’s brethren came, and bowed down themselves before him [with] their faces to the earth.
Genesis 42:7	And Joseph saw his brethren, and he knew them, but made himself strange unto them, and spake roughly unto them; and he said unto them, 
 And they said, From the land of Canaan to buy food.
Genesis 42:8	And Joseph knew his brethren, but they knew not him.
Genesis 42:9	And Joseph remembered the dreams which he dreamed of them, and said unto them, 

Genesis 42:10	And they said unto him, Nay, my lord, but to buy food are thy servants come.
Genesis 42:11	We [are] all one man’s sons; we [are] true [men], thy servants are no spies.
Genesis 42:12	And he said unto them, 

Genesis 42:13	And they said, Thy servants [are] twelve brethren, the sons of one man in the land of Canaan; and, behold, the youngest [is] this day with our father, and one [is] not.
Genesis 42:14	And Joseph said unto them, 

Genesis 42:15	Hereby ye shall be proved: 

Genesis 42:17	And he put them all together into ward three days.
Genesis 42:18	And Joseph said unto them the third day, 

Genesis 42:21	And they said one to another, We [are] verily guilty concerning our brother, in that we saw the anguish of his soul, when he besought us, and we would not hear; therefore is this distress come upon us.
Genesis 42:22	And Reuben answered them, saying, 

Genesis 42:23	And they knew not that Joseph understood [them]; for he spake unto them by an interpreter.
Genesis 42:24	And he turned himself about from them, and wept; and returned to them again, and communed with them, and took from them Simeon, and bound him before their eyes.
Genesis 42:25	Then Joseph commanded to fill their sacks with corn, and to restore every man’s money into his sack, and to give them provision for the way: and thus did he unto them.
Genesis 42:26	And they laded their asses with the corn, and departed thence.
Genesis 42:27	And as one of them opened his sack to give his ass provender in the inn, he espied his money; for, behold, it [was] in his sack’s mouth.
Genesis 42:28	And he said unto his brethren, My money is restored; and, lo, [it is] even in my sack: and their heart failed [them], and they were afraid, saying one to another, What [is] this [that] God hath done unto us?
Genesis 42:29	And they came unto Jacob their father unto the land of Canaan, and told him all that befell unto them; saying,
Genesis 42:30	The man, [who is] the lord of the land, spake roughly to us, and took us for spies of the country.
Genesis 42:31	And we said unto him, We [are] true [men]; we are no spies:
Genesis 42:32	We [be] twelve brethren, sons of our father; one [is] not, and the youngest [is] this day with our father in the land of Canaan.
Genesis 42:33	And the man, the lord of the country, said unto us, Hereby shall I know that ye [are] true [men]; leave one of your brethren [here] with me, and take [food for] the famine of your households, and be gone:
Genesis 42:34	And bring your youngest brother unto me: then shall I know that ye [are] no spies, but [that] ye [are] true [men: so] will I deliver you your brother, and ye shall traffick in the land.
Genesis 42:35	And it came to pass as they emptied their sacks, that, behold, every man’s bundle of money [was] in his sack: and when [both] they and their father saw the bundles of money, they were afraid.
Genesis 42:36	And Jacob their father said unto them, 

Genesis 42:37	And Reuben spake unto his father, saying, 

Genesis 42:38	And he said, 

Genesis 43:1	And the famine [was] sore in the land.
Genesis 43:2	And it came to pass, when they had eaten up the corn which they had brought out of Egypt, their father said unto them, 

Genesis 43:3	And Judah spake unto him, saying, 

Genesis 43:6	And Israel said, 

Genesis 43:7	And they said, The man asked us straitly of our state, and of our kindred, saying, [Is] your father yet alive? have ye [another] brother? and we told him according to the tenor of these words: could we certainly know that he would say, Bring your brother down?
Genesis 43:8	And Judah said unto Israel his father, Send the lad with me, and we will arise and go; that we may live, and not die, both we, and thou, [and] also our little ones.
Genesis 43:9	I will be surety for him; of my hand shalt thou require him: if I bring him not unto thee, and set him before thee, then let me bear the blame for ever:
Genesis 43:10	For except we had lingered, surely now we had returned this second time.
Genesis 43:11	And their father Israel said unto them, 

Genesis 43:15	And the men took that present, and they took double money in their hand, and Benjamin; and rose up, and went down to Egypt, and stood before Joseph.
Genesis 43:16	And when Joseph saw Benjamin with them, he said to the ruler of his house, 

Genesis 43:17	And the man did as Joseph bade; and the man brought the men into Joseph’s house.
Genesis 43:18	And the men were afraid, because they were brought into Joseph’s house; and they said, Because of the money that was returned in our sacks at the first time are we brought in; that he may seek occasion against us, and fall upon us, and take us for bondmen, and our asses.
Genesis 43:19	And they came near to the steward of Joseph’s house, and they communed with him at the door of the house,
Genesis 43:20	And said, O sir, we came indeed down at the first time to buy food:
Genesis 43:21	And it came to pass, when we came to the inn, that we opened our sacks, and, behold, [every] man’s money [was] in the mouth of his sack, our money in full weight: and we have brought it again in our hand.
Genesis 43:22	And other money have we brought down in our hands to buy food: we cannot tell who put our money in our sacks.
Genesis 43:23	And he said, 
 And he brought Simeon out unto them.
Genesis 43:24	And the man brought the men into Joseph’s house, and gave [them] water, and they washed their feet; and he gave their asses provender.
Genesis 43:25	And they made ready the present against Joseph came at noon: for they heard that they should eat bread there.
Genesis 43:26	And when Joseph came home, they brought him the present which [was] in their hand into the house, and bowed themselves to him to the earth.
Genesis 43:27	And he asked them of [their] welfare, and said, 

Genesis 43:28	And they answered, Thy servant our father [is] in good health, he [is] yet alive. And they bowed down their heads, and made obeisance.
Genesis 43:29	And he lifted up his eyes, and saw his brother Benjamin, his mother’s son, and said, 

Genesis 43:30	And Joseph made haste; for his bowels did yearn upon his brother: and he sought [where] to weep; and he entered into [his] chamber, and wept there.
Genesis 43:31	And he washed his face, and went out, and refrained himself, and said, Set on bread.
Genesis 43:32	And they set on for him by himself, and for them by themselves, and for the Egyptians, which did eat with him, by themselves: because the Egyptians might not eat bread with the Hebrews; for that [is] an abomination unto the Egyptians.
Genesis 43:33	And they sat before him, the firstborn according to his birthright, and the youngest according to his youth: and the men marvelled one at another.
Genesis 43:34	And he took [and sent] messes unto them from before him: but Benjamin’s mess was five times so much as any of theirs. And they drank, and were merry with him.
Genesis 44:1	And he commanded the steward of his house, saying, 

 And he did according to the word that Joseph had spoken.
Genesis 44:3	As soon as the morning was light, the men were sent away, they and their asses.
Genesis 44:4	[And] when they were gone out of the city, [and] not [yet] far off, Joseph said unto his steward,

Genesis 44:6	And he overtook them, and he spake unto them these same words.
Genesis 44:7	And they said unto him, Wherefore saith my lord these words? God forbid that thy servants should do according to this thing:
Genesis 44:8	Behold, the money, which we found in our sacks’ mouths, we brought again unto thee out of the land of Canaan: how then should we steal out of thy lord’s house silver or gold?
Genesis 44:9	With whomsoever of thy servants it be found, both let him die, and we also will be my lord’s bondmen.
Genesis 44:10	And he said, Now also [let] it [be] according unto your words: he with whom it is found shall be my servant; and ye shall be blameless.
Genesis 44:11	Then they speedily took down every man his sack to the ground, and opened every man his sack.
Genesis 44:12	And he searched, [and] began at the eldest, and left at the youngest: and the cup was found in Benjamin’s sack.
Genesis 44:13	Then they rent their clothes, and laded every man his ass, and returned to the city.
Genesis 44:14	And Judah and his brethren came to Joseph’s house; for he [was] yet there: and they fell before him on the ground.
Genesis 44:15	And Joseph said unto them, 

Genesis 44:16	And Judah said, 

Genesis 44:17	And he said, 

Genesis 44:18	Then Judah came near unto him, and said, 


Genesis 45:1	Then Joseph could not refrain himself before all them that stood by him; and he cried, 

 And there stood no man with him, while Joseph made himself known unto his brethren.
Genesis 45:2	And he wept aloud: and the Egyptians and the house of Pharaoh heard.
Genesis 45:3	And Joseph said unto his brethren, 

 And his brethren could not answer him; for they were troubled at his presence.

Genesis 45:4	And Joseph said unto his brethren, 


Genesis 45:14	And he fell upon his brother Benjamin’s neck, and wept; and Benjamin wept upon his neck.
Genesis 45:15	Moreover he kissed all his brethren, and wept upon them: and after that his brethren talked with him.
Genesis 45:16	And the fame thereof was heard in Pharaoh’s house, saying, Joseph’s brethren are come: and it pleased Pharaoh well, and his servants.
Genesis 45:17	And Pharaoh said unto Joseph, 

Genesis 45:21	And the children of Israel did so: and Joseph gave them wagons, according to the commandment of Pharaoh, and gave them provision for the way.
Genesis 45:22	To all of them he gave each man changes of raiment; but to Benjamin he gave three hundred [pieces] of silver, and five changes of raiment.
Genesis 45:23	And to his father he sent after this [manner]; ten asses laden with the good things of Egypt, and ten she asses laden with corn and bread and meat for his father by the way.
Genesis 45:24	So he sent his brethren away, and they departed: and he said unto them, 

Genesis 45:25	And they went up out of Egypt, and came into the land of Canaan unto Jacob their father,
Genesis 45:26	And told him, saying, Joseph [is] yet alive, and he [is] governor over all the land of Egypt. And Jacob’s heart fainted, for he believed them not.
Genesis 45:27	And they told him all the words of Joseph, which he had said unto them: and when he saw the wagons which Joseph had sent to carry him, the spirit of Jacob their father revived:
Genesis 45:28	And Israel said, 

Genesis 46:1	And Israel took his journey with all that he had, and came to Beersheba, and offered sacrifices unto the God of his father Isaac.
Genesis 46:2	And God spake unto Israel in the visions of the night, and said, 

Genesis 46:3	And he said, 

Genesis 46:5	And Jacob rose up from Beersheba: and the sons of Israel carried Jacob their father, and their little ones, and their wives, in the wagons which Pharaoh had sent to carry him.
Genesis 46:6	And they took their cattle, and their goods, which they had gotten in the land of Canaan, and came into Egypt, Jacob, and all his seed with him:
Genesis 46:7	His sons, and his sons’ sons with him, his daughters, and his sons’ daughters, and all his seed brought he with him into Egypt.
Genesis 46:8	And these [are] the names of the children of Israel, which came into Egypt, Jacob and his sons: Reuben, Jacob’s firstborn.
Genesis 46:9	And the sons of Reuben; Hanoch, and Phallu, and Hezron, and Carmi.
Genesis 46:10	And the sons of Simeon; Jemuel, and Jamin, and Ohad, and Jachin, and Zohar, and Shaul the son of a Canaanitish woman.
Genesis 46:11	And the sons of Levi; Gershon, Kohath, and Merari.
Genesis 46:12	And the sons of Judah; Er, and Onan, and Shelah, and Pharez, and Zerah: but Er and Onan died in the land of Canaan. And the sons of Pharez were Hezron and Hamul.
Genesis 46:13	And the sons of Issachar; Tola, and Phuvah, and Job, and Shimron.
Genesis 46:14	And the sons of Zebulun; Sered, and Elon, and Jahleel.
Genesis 46:15	These [be] the sons of Leah, which she bare unto Jacob in Padanaram, with his daughter Dinah: all the souls of his sons and his daughters [were] thirty and three.
Genesis 46:16	And the sons of Gad; Ziphion, and Haggi, Shuni, and Ezbon, Eri, and Arodi, and Areli.
Genesis 46:17	And the sons of Asher; Jimnah, and Ishuah, and Isui, and Beriah, and Serah their sister: and the sons of Beriah; Heber, and Malchiel.
Genesis 46:18	These [are] the sons of Zilpah, whom Laban gave to Leah his daughter, and these she bare unto Jacob, [even] sixteen souls.
Genesis 46:19	The sons of Rachel Jacob’s wife; Joseph, and Benjamin.
Genesis 46:20	And unto Joseph in the land of Egypt were born Manasseh and Ephraim, which Asenath the daughter of Potipherah priest of On bare unto him.
Genesis 46:21	And the sons of Benjamin [were] Belah, and Becher, and Ashbel, Gera, and Naaman, Ehi, and Rosh, Muppim, and Huppim, and Ard.
Genesis 46:22	These [are] the sons of Rachel, which were born to Jacob: all the souls [were] fourteen.
Genesis 46:23	And the sons of Dan; Hushim.
Genesis 46:24	And the sons of Naphtali; Jahzeel, and Guni, and Jezer, and Shillem.
Genesis 46:25	These [are] the sons of Bilhah, which Laban gave unto Rachel his daughter, and she bare these unto Jacob: all the souls [were] seven.
Genesis 46:26	All the souls that came with Jacob into Egypt, which came out of his loins, besides Jacob’s sons’ wives, all the souls [were] threescore and six;
Genesis 46:27	And the sons of Joseph, which were born him in Egypt, [were] two souls: all the souls of the house of Jacob, which came into Egypt, [were] threescore and ten.
Genesis 46:28	And he sent Judah before him unto Joseph, to direct his face unto Goshen; and they came into the land of Goshen.
Genesis 46:29	And Joseph made ready his chariot, and went up to meet Israel his father, to Goshen, and presented himself unto him; and he fell on his neck, and wept on his neck a good while.
Genesis 46:30	And Israel said unto Joseph,

Genesis 46:31	And Joseph said unto his brethren, and unto his father’s house, 

Genesis 47:1	Then Joseph came and told Pharaoh, and said, My father and my brethren, and their flocks, and their herds, and all that they have, are come out of the land of Canaan; and, behold, they [are] in the land of Goshen.
Genesis 47:2	And he took some of his brethren, [even] five men, and presented them unto Pharaoh.
Genesis 47:3	And Pharaoh said unto his brethren, 
And they said unto Pharaoh, Thy servants [are] shepherds, both we, [and] also our fathers.
Genesis 47:4	They said moreover unto Pharaoh, For to sojourn in the land are we come; for thy servants have no pasture for their flocks; for the famine [is] sore in the land of Canaan: now therefore, we pray thee, let thy servants dwell in the land of Goshen.
Genesis 47:5	And Pharaoh spake unto Joseph, saying,

Genesis 47:7	And Joseph brought in Jacob his father, and set him before Pharaoh: and Jacob blessed Pharaoh.
Genesis 47:8	And Pharaoh said unto Jacob, 
Genesis 47:9	And Jacob said unto Pharaoh, 

Genesis 47:10	And Jacob blessed Pharaoh, and went out from before Pharaoh.
Genesis 47:11	And Joseph placed his father and his brethren, and gave them a possession in the land of Egypt, in the best of the land, in the land of Rameses, as Pharaoh had commanded.
Genesis 47:12	And Joseph nourished his father, and his brethren, and all his father’s household, with bread, according to [their] families.
Genesis 47:13	And [there was] no bread in all the land; for the famine [was] very sore, so that the land of Egypt and [all] the land of Canaan fainted by reason of the famine.
Genesis 47:14	And Joseph gathered up all the money that was found in the land of Egypt, and in the land of Canaan, for the corn which they bought: and Joseph brought the money into Pharaoh’s house.
Genesis 47:15	And when money failed in the land of Egypt, and in the land of Canaan, all the Egyptians came unto Joseph, and said, Give us bread: for why should we die in thy presence? for the money faileth.
Genesis 47:16	And Joseph said, 

Genesis 47:17	And they brought their cattle unto Joseph: and Joseph gave them bread [in exchange] for horses, and for the flocks, and for the cattle of the herds, and for the asses: and he fed them with bread for all their cattle for that year.
Genesis 47:18	When that year was ended, they came unto him the second year, and said unto him, We will not hide [it] from my lord, how that our money is spent; my lord also hath our herds of cattle; there is not ought left in the sight of my lord, but our bodies, and our lands:
Genesis 47:19	Wherefore shall we die before thine eyes, both we and our land? buy us and our land for bread, and we and our land will be servants unto Pharaoh: and give [us] seed, that we may live, and not die, that the land be not desolate.
Genesis 47:20	And Joseph bought all the land of Egypt for Pharaoh; for the Egyptians sold every man his field, because the famine prevailed over them: so the land became Pharaoh’s.
Genesis 47:21	And as for the people, he removed them to cities from [one] end of the borders of Egypt even to the [other] end thereof.
Genesis 47:22	Only the land of the priests bought he not; for the priests had a portion [assigned them] of Pharaoh, and did eat their portion which Pharaoh gave them: wherefore they sold not their lands.
Genesis 47:23	Then Joseph said unto the people, 

Genesis 47:25	And they said, Thou hast saved our lives: let us find grace in the sight of my lord, and we will be Pharaoh’s servants.
Genesis 47:26	And Joseph made it a law over the land of Egypt unto this day, [that] Pharaoh should have the fifth [part]; except the land of the priests only, [which] became not Pharaoh’s.
Genesis 47:27	And Israel dwelt in the land of Egypt, in the country of Goshen; and they had possessions therein, and grew, and multiplied exceedingly.
Genesis 47:28	And Jacob lived in the land of Egypt seventeen years: so the whole age of Jacob was an hundred forty and seven years.
Genesis 47:29	And the time drew nigh that Israel must die: and he called his son Joseph, and said unto him, 

 And he sware unto him. And Israel bowed himself upon the bed’s head.
Genesis 48:1	And it came to pass after these things, that [one] told Joseph, Behold, thy father [is] sick: and he took with him his two sons, Manasseh and Ephraim.
Genesis 48:2	And [one] told Jacob, and said, Behold, thy son Joseph cometh unto thee: and Israel strengthened himself, and sat upon the bed.
Genesis 48:3	And Jacob said unto Joseph, 

Genesis 48:8	And Israel beheld Joseph’s sons, and said, 

Genesis 48:9	And Joseph said unto his father, 

Genesis 48:10	Now the eyes of Israel were dim for age, [so that] he could not see. And he brought them near unto him; and he kissed them, and embraced them.
Genesis 48:11	And Israel said unto Joseph, 

Genesis 48:12	And Joseph brought them out from between his knees, and he bowed himself with his face to the earth.
Genesis 48:13	And Joseph took them both, Ephraim in his right hand toward Israel’s left hand, and Manasseh in his left hand toward Israel’s right hand, and brought [them] near unto him.
Genesis 48:14	And Israel stretched out his right hand, and laid [it] upon Ephraim’s head, who [was] the younger, and his left hand upon Manasseh’s head, guiding his hands wittingly; for Manasseh [was] the firstborn.
Genesis 48:15	And he blessed Joseph, and said, 

Genesis 48:17	And when Joseph saw that his father laid his right hand upon the head of Ephraim, it displeased him: and he held up his father’s hand, to remove it from Ephraim’s head unto Manasseh’s head.
Genesis 48:18	And Joseph said unto his father, 

Genesis 48:19	And his father refused, and said, 

Genesis 48:20	And he blessed them that day, saying, 

Genesis 48:21	And Israel said unto Joseph, 

Genesis 49:1	And Jacob called unto his sons, and said, 

Genesis 49:28	All these [are] the twelve tribes of Israel: and this [is it] that their father spake unto them, and blessed them; every one according to his blessing he blessed them.
Genesis 49:29	And he charged them, and said unto them, 

